Uniprot.ID,Symbol,Hu.Symbol,NVmean,NDmean,TVmean,TDmean,TVNVdir,NVND.adj,NVTV.adj,NVTD.adj,Tdrescue,J.Symbol,J.Uniprot,Fvalue,ANOVA,AS.pval.adj,AD.pval.adj,AS.sig,AD.sig,CT.log,AS.log,AD.log,AS.dir,AD.dir,AS.match,AD.match,AS.sigmat,AD.sigmat
F6VQH5,Hnrnpdl,HNRNPDL,1.0075,0.90025,0.859,0.899,down,0.305275288,0.025817465,0.192027851,resc,HNRNPDL,O14979-3,0.294813952,0.746129518,0.801684594,0.75687331,ns,ns,0,-0.045395136,-0.052822959,down,down,match,match,no,no
F7BJK1,Pcdh1,PCDH1,1.13825,1.10725,0.97575,1.00075,down,0.530696817,0.022692397,0.041767135,nr,PCDH1,Q08174-2,8.818062659,0.000601979,0.061680827,0.000371059,ns,sig,0,-0.201205617,-0.346393378,down,down,match,match,no,yes
G3UVV4,Hk1,HK1,0.987,1.026,1.2345,1.06375,up,0.711878543,0.040902416,0.307513264,resc,HK1,P19367,0.646990828,0.528527861,0.829311796,0.497548161,ns,ns,0,-0.037277742,-0.072332677,down,down,unm,unm,no,no
G3UW85,Erh,ERH,1.1225,1.0295,0.79675,0.95,down,0.593859331,0.044042841,0.158674319,resc,ERH,P84090,0.411158225,0.665402364,0.936834815,0.87088342,ns,ns,0,-0.017366639,0.030477721,down,up,match,unm,no,no
G3UYV7,Rps28,RPS28,1.17125,1.04875,1.03575,1.104,down,0.080125509,0.031004854,0.136098387,resc,RPS28,P62857,2.087222987,0.1361416,0.566137983,0.115067827,ns,ns,0,0.138534903,0.218322385,up,up,unm,unm,no,no
G3XA25,Acat2,ACAT2,1.1725,1.2235,1.3055,1.1735,up,0.286728038,0.019394671,0.989822429,resc,ACAT2,Q9BWD1,2.841568038,0.069081356,0.809681161,0.274365059,ns,ns,0,-0.070132562,0.105410583,down,up,unm,match,no,no
H7BX95,Srsf1,SRSF1,1.26925,1.111,1.0385,1.0205,down,0.220256633,0.01051296,0.008644539,nr,SRSF1,Q07955,2.595025873,0.086031746,0.764703165,0.084490898,ns,ns,0,0.181139601,0.290661261,up,up,unm,unm,no,no
J3QQ44,Sh3gl3,SH3GL3,1.071,1.08075,0.967,0.9965,down,0.797427452,0.016683533,0.094208001,resc,SH3GL3,Q99963-4,3.459277621,0.040242531,0.056751613,0.070213472,ns,ns,0,-0.170322657,-0.156088031,down,down,match,match,no,no
O08553,Dpysl2,DPYSL2,0.85925,0.93325,1.14475,1.0855,up,0.054296725,0.014715282,5.91E-06,nr,DPYSL2,Q16555,4.047125068,0.024354739,0.880477878,0.111847666,ns,ns,0,0.022138856,-0.089378645,up,down,match,unm,no,no
O08585,Clta,CLTA,1.00025,0.97225,0.85275,0.906,down,0.506963176,0.014397038,0.070312194,resc,CLTA,P09496-3,2.65468615,0.081566242,0.073963846,0.226697816,ns,ns,0,-0.185272651,-0.141241923,down,down,match,match,no,no
O08997,Atox1,ATOX1,1.05175,0.86575,0.7505,0.86175,down,0.111659004,0.016581449,0.062966698,resc,ATOX1,O00244,4.187179872,0.021644467,0.782851417,0.025613373,ns,sig,0,-0.057824601,-0.237466022,down,down,match,match,no,yes
O09111,Ndufb11,NDUFB11,1.153,1.0465,0.8835,0.9285,down,0.095767414,0.004879824,0.015928116,nr,NDUFB11,Q9NX14,0.488174976,0.617445516,0.649211238,0.689489338,ns,ns,0,-0.094795087,-0.064193844,down,down,match,match,no,no
O35658,C1qbp,C1QBP,1.09575,0.95875,0.8335,0.8895,down,0.111659004,0.008535317,0.027321566,nr,C1QBP,Q07021,1.253588342,0.295474101,0.893969743,0.296167988,ns,ns,0,-0.035111533,-0.113030018,down,down,match,match,no,no
O35685,Nudc,NUDC,1.11525,1.03425,0.944,0.972,down,0.217524271,0.016943601,0.035394722,nr,NUDC,Q9Y266,0.012348145,0.987731202,0.991597198,0.987742008,ns,ns,0,0.005128527,0.002144387,up,up,unm,unm,no,no
O35887,Calu,CALU,0.9315,0.81475,0.81925,0.85625,down,0.204185253,0.019394671,0.302437099,resc,CALU,O43852,1.035418,0.363567318,0.9321778,0.609400086,ns,ns,0,-0.027308016,0.064669672,down,up,match,unm,no,no
O55022,Pgrmc1,PGRMC1,1.10075,1.069,0.99075,0.9935,down,0.464875327,0.015575788,0.022217972,nr,PGRMC1,O00264,0.428835286,0.653959877,0.949805877,0.845772134,ns,ns,0,-0.01895373,0.044172795,down,up,match,unm,no,no
O55042,Snca,SNCA,1.22775,1.13175,0.8355,0.99875,down,0.395634796,0.016943601,0.070312194,resc,SNCA,P37840-2,11.12686603,0.000122838,0.038953347,7.18E-05,sig,sig,0,-0.22704601,-0.398475918,down,down,match,match,yes,yes
O70166,Stmn3,STMN3,1.09825,1.06925,0.89625,1.03425,down,0.748792908,0.044042841,0.395430086,resc,STMN3,Q9NZ72-2,3.686895277,0.033085937,0.055180258,0.051231698,ns,ns,0,-0.298173307,-0.287889986,down,down,match,match,no,no
O70251,Eef1b,EEF1B,1.01625,0.985,0.891,0.9145,down,0.523937835,0.025444233,0.093962032,resc,EEF1B2,P24534,1.859048022,0.16785355,0.227712055,0.204226633,ns,ns,0,-0.121830078,-0.115366871,down,down,match,match,no,no
O70591,Pfdn2,PFDN2,1.035,0.915,0.79825,0.88425,down,0.111659004,0.01051296,0.066895798,resc,PFDN2,Q9UHV9,1.260272744,0.293611672,0.399655236,0.999858131,ns,ns,0,0.138817478,0.009453632,up,up,unm,unm,no,no
O88569,Hnrnpa2b1,HNRNPA2B1,1.08075,0.9445,0.962,0.9735,down,0.123451736,0.016943601,0.089147378,resc,HNRNPA2B1,P22626,1.432745322,0.249568164,0.886629963,0.252396074,ns,ns,0,0.025508387,0.076397317,up,up,unm,unm,no,no
