Symbol,CT1,CT2,CT3,CT4,CTmean,AD1,AD2,AD3,AD4,ADmean,pval.AD-CT,AD.CT.FC,log10.pval,Translation
SERBP1,5.598,3.775,2.039,0,2.853,1.033,1.565,0.62,0.403,0.90525,1.63E-01,-1.948,0.789,
THEM6,4.287,4.797,0.427,0.505,2.504,0.736,0.546,0.218,0.529,0.50725,1.43E-01,-1.996,0.844,
KRT82,6.04,8.35,9.027,0,5.85425,2.091,3.417,8.563,1.04,3.77775,4.62E-01,-2.077,0.335,
ATP5B,5.367,2.686,2.201,1.503,2.93925,1.394,0.578,1.468,0,0.86,6.34E-02,-2.079,1.198,
PSMA6,5.249,3.096,1.622,0.279,2.5615,0.696,1.163,0,0.052,0.47775,1.07E-01,-2.084,0.97,
HSPA6,6.415,6.996,0,0,3.35275,1.399,0.875,1.31,1.373,1.23925,3.19E-01,-2.113,0.497,
KRT18,8.885,5.088,1.087,0.119,3.79475,1.982,2.218,0.592,1.871,1.66575,3.37E-01,-2.129,0.472,
SYNCRIP,6.942,4.601,0,0,2.88575,0,1.695,0.277,1.035,0.75175,2.75E-01,-2.134,0.561,TRUE
ZNF784,0,6.091,2.238,0.373,2.1755,0,0,0,0,0,1.70E-01,-2.175,0.77,
DAPP1,2.67,3.162,3.317,3.128,3.06925,0,3.296,0,0,0.824,3.62E-02,-2.245,1.441,
CNTROB,0.513,12.24,12.855,0.94,6.637,2.13,0.905,1.846,12.402,4.32075,6.14E-01,-2.316,0.212,
ASS1,6.932,3.93,2.775,0,3.40925,1.524,1.55,1.105,0.18,1.08975,1.66E-01,-2.32,0.781,
EIF6,8.902,0,5.039,0.327,3.567,1.639,1.504,1.232,0.414,1.19725,3.10E-01,-2.37,0.509,TRUE
NPM1,6.822,3.451,1.137,0.868,3.0695,0,0,1.441,1.338,0.69475,1.49E-01,-2.374,0.826,TRUE
HNRNPU,7.352,5.993,0.207,1.455,3.75175,1.042,1.253,1.053,2.139,1.37175,2.22E-01,-2.38,0.654,
GLUL,3.238,4.141,4.183,3.874,3.859,2.421,0,1.815,1.679,1.47875,5.49E-03,-2.38,2.26,
GLUD1,7.041,5.32,0.324,1.084,3.44225,1.154,0.856,0.773,1.087,0.9675,1.80E-01,-2.475,0.746,
DSC3,3.374,0,3.82,3.13,2.581,0,0,0.119,0.021,0.035,2.67E-02,-2.546,1.573,
TLN2,7.592,8.985,8.327,7.944,8.212,5.694,6.205,5.2,5.22,5.57975,4.57E-04,-2.632,3.34,
PKM,6.538,3.989,3.643,2.081,4.06275,2.263,0.646,0,2.678,1.39675,5.53E-02,-2.666,1.258,
RPLP1,7.752,5.896,4.695,0,4.58575,2.222,2.096,1.412,1.83,1.89,1.56E-01,-2.696,0.807,TRUE
PHB,7.878,4.417,1.849,0,3.536,1.108,0.878,0,1.269,0.81375,1.67E-01,-2.722,0.778,
S100A6,6.816,7.775,1.231,0,3.9555,0.838,2.349,0.598,1.123,1.227,2.20E-01,-2.728,0.658,
TOR2A,0.382,4.735,5.075,5.67,3.9655,2.015,0.94,0.396,1.031,1.0955,6.24E-02,-2.87,1.205,
RLF,7.842,6.962,7.19,8.451,7.61125,2.471,2.096,6.673,7.672,4.728,9.70E-02,-2.883,1.013,
PRKDC,8.086,3.509,0.467,0.954,3.254,0,1.169,0.124,0.05,0.33575,1.49E-01,-2.918,0.825,
PAPD4,4.68,0.702,5.251,5.037,3.9175,0.887,1.611,0.439,1.003,0.985,3.78E-02,-2.932,1.422,
XRCC5,6.992,5.461,3.945,3.095,4.87325,3.246,0.195,0.068,3.653,1.7905,5.40E-02,-3.083,1.268,
FAM86B1,8.218,8.257,0,0.348,4.20575,0.662,1.653,0.776,1.086,1.04425,2.25E-01,-3.161,0.647,
SNRNP200,8.394,5.094,3.156,3.999,5.16075,1.469,2.141,1.604,2.059,1.81825,2.80E-02,-3.342,1.552,
HSPD1,6.623,6.621,4.284,2.611,5.03475,2.628,3.155,0.933,0,1.679,3.35E-02,-3.356,1.475,
EEF2,9.6,6.443,4.774,3.764,6.14525,3.905,0,3.883,3.241,2.75725,7.58E-02,-3.388,1.12,TRUE
